,vehicle_id,data_installment,listing_price,data_make,data_model,data_year,data_mileage,data_transmission,doors,seat_capacity,assembled,engine_cc,peak_power,peak_torque,engine_type,fuel_type
0,11207652,1694,130700,16,38,2023,0,0,4.0,5.0,0,1498.0,182.0,240.0,1,3
1,11219593,3876,299000,35,89,2022,0,0,4.0,5.0,2,1496.0,287.0,450.0,0,1
2,11185947,1157,89260,16,37,2023,0,0,4.0,5.0,0,1498.0,121.0,145.0,1,3
3,9789463,777,59900,29,90,2022,0,0,5.0,5.0,0,1496.0,103.0,137.0,1,3
4,8637396,1426,109990,27,118,2022,0,0,4.0,5.0,1,2442.0,181.0,430.0,1,0
5,8795107,756,58300,31,101,2022,0,0,4.0,5.0,0,1597.0,109.0,150.0,1,3
6,8873806,892,68800,16,37,2022,0,0,4.0,5.0,0,1498.0,121.0,145.0,1,3
7,10778299,1097,84600,16,37,2022,0,0,5.0,5.0,0,1498.0,121.0,145.0,1,3
8,9307651,446,34400,31,111,2022,0,0,4.0,5.0,0,1332.0,95.0,120.0,1,3
9,9349687,376,29000,31,111,2022,0,0,4.0,5.0,0,1332.0,95.0,120.0,1,3
10,10737711,1018,78505,31,130,2022,0,0,5.0,5.0,0,1477.0,150.0,226.0,1,3
11,11188370,2917,224990,37,68,2023,0,0,5.0,5.0,0,1984.0,245.0,370.0,1,3
12,11206253,2217,171030,16,30,2023,0,0,5.0,5.0,0,1498.0,193.0,243.0,1,3
13,11185832,1406,108460,16,37,2023,0,0,5.0,5.0,0,1498.0,98.0,127.0,1,2
14,11185845,1406,108460,16,37,2023,0,0,5.0,5.0,0,1498.0,98.0,127.0,1,2
15,7715933,2362,182200,25,33,2023,0,0,5.0,5.0,0,2488.0,231.0,420.0,1,3
16,10420803,788,60800,31,50,2022,0,0,5.0,7.0,0,1561.0,140.0,205.0,1,3
17,10927341,1093,84300,31,130,2022,0,0,5.0,5.0,0,1477.0,150.0,226.0,1,3
18,11207598,1694,130700,16,38,2023,0,0,4.0,5.0,0,1498.0,182.0,240.0,1,3
19,11210134,1400,108000,9,105,2022,0,0,4.0,5.0,1,1996.0,170.0,405.0,1,0
20,7815632,1451,111900,28,98,2022,0,0,4.0,5.0,1,2488.0,190.0,450.0,1,0
22,11212741,1296,99980,27,138,2023,0,0,5.0,7.0,0,1499.0,105.0,141.0,1,3
23,9269394,1086,83800,36,139,2022,0,0,5.0,5.0,0,1496.0,107.0,140.0,1,3
24,9278809,1172,90400,36,126,2022,0,0,4.0,5.0,0,1496.0,107.0,140.0,1,3
25,10254074,1943,149888,36,76,2022,0,0,4.0,5.0,0,2755.0,204.0,500.0,1,0
26,10254056,1815,139991,36,41,2022,0,0,5.0,5.0,0,1798.0,98.0,142.0,1,2
27,10251257,1136,87600,36,139,2022,0,0,5.0,5.0,0,1496.0,107.0,140.0,1,3
28,10251294,1172,90400,36,126,2022,0,0,4.0,5.0,0,1496.0,107.0,140.0,1,3
29,11185864,1170,90260,16,37,2023,0,0,5.0,5.0,0,1498.0,121.0,145.0,1,3
30,11185565,1157,89260,16,37,2023,0,0,4.0,5.0,0,1498.0,121.0,145.0,1,3
31,11206165,1894,146061,16,30,2023,0,0,5.0,5.0,0,1997.0,154.0,189.0,1,3
32,9269438,773,59610,29,90,2022,0,0,5.0,5.0,0,1496.0,103.0,137.0,1,3
34,10067027,1722,132800,30,1,2022,0,0,5.0,5.0,0,1199.0,132.0,230.0,1,3
35,7381489,2104,162300,16,30,2022,0,0,5.0,5.0,0,1498.0,193.0,243.0,1,3
36,10628823,1130,87200,16,37,2022,0,0,4.0,5.0,0,1498.0,121.0,145.0,1,3
37,9722350,1802,139000,16,72,2022,0,0,5.0,5.0,0,1498.0,107.0,131.0,1,2
38,8591320,1143,88200,16,37,2022,0,0,5.0,5.0,0,1498.0,121.0,145.0,1,3
39,8714487,1318,101700,18,43,2022,0,0,4.0,5.0,1,1898.0,150.0,350.0,1,0
40,8632547,1941,149700,16,38,2022,0,0,4.0,5.0,0,1498.0,182.0,240.0,1,3
41,10626625,1605,123800,31,131,2022,0,0,5.0,5.0,0,1477.0,177.0,255.0,1,3
43,11212241,3059,235990,37,117,2023,0,0,5.0,7.0,0,1984.0,220.0,350.0,1,3
44,11212231,2450,188990,37,117,2023,0,0,5.0,7.0,0,1395.0,150.0,250.0,1,3
45,11222886,1120,86400,36,126,2023,0,0,4.0,5.0,0,1496.0,107.0,140.0,1,3
46,11222946,1084,83600,36,139,2023,0,0,5.0,5.0,0,1496.0,107.0,140.0,1,3
48,11161687,931,71800,16,37,2023,0,0,4.0,5.0,0,1498.0,121.0,145.0,1,3
49,10644744,993,76600,16,37,2022,0,0,4.0,5.0,0,1498.0,121.0,145.0,1,3
50,10644750,1879,144900,16,30,2022,0,0,5.0,5.0,0,1997.0,154.0,189.0,1,3
51,11211629,454,35000,31,111,2023,0,0,4.0,5.0,0,1332.0,95.0,120.0,1,3
52,10297974,1006,77600,16,37,2022,0,0,4.0,5.0,0,1498.0,121.0,145.0,1,3
53,11191221,984,75888,16,37,2023,0,0,4.0,5.0,0,1498.0,121.0,145.0,1,3
54,11191264,997,76888,16,37,2023,0,0,5.0,5.0,0,1498.0,121.0,145.0,1,3
55,8602966,945,72900,29,20,2022,0,0,5.0,7.0,0,1496.0,102.0,133.0,1,3
56,9963164,971,74900,16,37,2022,0,0,5.0,5.0,0,1498.0,121.0,145.0,1,3
57,9963099,961,74100,16,37,2022,0,0,4.0,5.0,0,1498.0,121.0,145.0,1,3
58,11185938,1157,89260,16,37,2023,0,0,4.0,5.0,0,1498.0,121.0,145.0,1,3
59,11206221,2217,171030,16,30,2023,0,0,5.0,5.0,0,1498.0,193.0,243.0,1,3
60,9311470,446,34400,31,111,2022,0,0,4.0,5.0,0,1332.0,95.0,120.0,1,3
61,9304838,376,29000,31,111,2022,0,0,4.0,5.0,0,1332.0,95.0,120.0,1,3
62,10901054,1015,78300,31,130,2022,0,0,5.0,5.0,0,1477.0,150.0,226.0,1,3
63,10297904,1176,90700,16,23,2022,0,0,5.0,7.0,0,1497.0,120.0,145.0,1,3
64,11222214,2930,225990,37,68,2023,1,0,5.0,5.0,0,1984.0,245.0,370.0,1,3
65,11222537,2074,159990,37,117,2023,1,0,5.0,7.0,0,1395.0,150.0,250.0,1,3
66,11222622,2450,188990,37,117,2023,1,0,5.0,7.0,0,1395.0,150.0,250.0,1,3
67,11222283,3059,235990,37,117,2023,1,0,5.0,7.0,0,1984.0,220.0,350.0,1,3
68,11222748,3591,276990,37,19,2023,1,0,5.0,5.0,0,1984.0,280.0,350.0,1,3
69,10652896,1029,79388,28,97,2022,0,1,5.0,2.0,1,1598.0,109.0,152.0,1,3
70,11220976,961,74100,16,37,2023,0,0,4.0,5.0,0,1498.0,121.0,145.0,1,3
71,11220947,974,75100,16,37,2023,0,0,5.0,5.0,0,1498.0,98.0,127.0,1,2
72,7209939,2149,165800,16,30,2022,0,0,5.0,5.0,0,1997.0,154.0,189.0,1,3
73,8610551,1188,91600,16,37,2022,0,0,5.0,5.0,0,1498.0,121.0,145.0,1,3
74,11172895,1390,107188,31,130,2023,0,0,5.0,5.0,0,1477.0,177.0,255.0,1,3
75,9896540,1448,111688,31,131,2022,0,0,5.0,5.0,0,1477.0,177.0,255.0,1,3
76,11200571,1237,95388,31,130,2023,0,0,5.0,5.0,0,1477.0,150.0,226.0,1,3
77,11171519,1512,116666,31,131,2023,0,0,5.0,5.0,0,1799.0,184.0,300.0,1,3
78,11185959,1390,107188,31,130,2023,0,0,5.0,5.0,0,1477.0,177.0,255.0,1,3
79,11171458,1449,111800,31,131,2023,0,0,5.0,5.0,0,1477.0,177.0,255.0,1,3
80,11185857,1241,95688,31,130,2023,0,0,5.0,5.0,0,1477.0,150.0,226.0,1,3
81,9205824,1075,82888,28,17,2022,0,0,4.0,5.0,0,999.0,101.0,152.0,1,3
82,9708729,1904,146888,28,113,2022,0,0,5.0,7.0,0,1997.0,150.0,200.0,1,2
83,10278713,945,72888,7,69,2022,0,1,5.0,2.0,1,1496.0,98.0,134.0,1,3
84,8984495,1543,119000,28,98,2022,0,0,4.0,5.0,1,2488.0,190.0,450.0,1,0
85,8959787,1750,135000,36,74,2022,0,1,3.0,2.0,0,2494.0,102.0,260.0,1,0
86,9104793,782,60300,29,90,2022,0,0,5.0,5.0,0,1496.0,103.0,137.0,1,3
87,11222735,1776,137000,9,105,2022,0,0,4.0,5.0,1,1996.0,211.0,500.0,1,0
88,11210929,3358,259000,9,105,2022,0,0,4.0,5.0,1,2956.0,397.0,583.0,1,3
89,11064214,2545,196300,20,36,2022,0,0,5.0,11.0,1,2151.0,201.0,440.0,1,0
